Surname;GivenName;Gender;Age;Birthday;Centimeters;Kilograms;ZipCode;StreetAddress;City;TelephoneNumber;id
Lemaître    ;Stéphane  ;male  ;67;5/8/1957;181;91.3;83500;89 rue du Clair Bocage       ;LA SEYNE-SUR-MER    ;429.041.873;1
Metivier    ;Josette   ;female;79;2/14/1945;168;103.2;33500;79 rue du Paillle en queue   ;LIBOURNE            ;534.685.610;2
Brodeur     ;Julien    ;male  ;35;7/9/1988;182;69.1;91210;98 rue Cazade                ;DRAVEIL             ;187.378.945;3
Plaisance   ;Benoît    ;male  ;32;3/1/1992;190;91.5;34400;69 Rue Hubert de Lisle       ;LUNEL               ;479.718.998;4
Labrecque   ;Neville   ;male  ;85;6/20/1938;168;91.4;57100;53 rue du Faubourg National  ;THIONVILLE          ;303.924.845;5
Gadbois     ;Geoffrey  ;male  ;58;7/31/1965;170;72.3;94200;93 route de Lyon             ;IVRY-SUR-SEINE      ;185.568.129;6
Monrency    ;Peverell  ;male  ;68;12/1/1955;179;83.7;69005;7 rue Banaudon               ;LYON                ;482.544.518;7
Picard      ;Harcourt  ;male  ;50;7/27/1973;176;92.3;2200;36 avenue Jules Ferry        ;SOISSONS            ;311.422.290;8
Hétu        ;Amarante  ;female;52;9/13/1971;159;83.7;75015;25 rue La Boétie             ;PARIS               ;131.423.235;9
Doyon       ;Patrick   ;male  ;85;12/12/1938;168;88.3;13200;80 Avenue De Marlioz         ;ARLES               ;118.830.509;10
Tisserand   ;Belle     ;female;67;4/14/1957;159;88.3;15000;86 rue Sadi Carnot           ;AURILLAC            ;465.728.035;11
Desruisseaux;Pierre    ;male  ;66;6/9/1957;182;84.2;77340;62 rue de la Boétie          ;PONTAULT-COMBAULT   ;178.285.677;12
Robert      ;Ogier     ;male  ;71;1/18/1953;174;76.4;57200;11 rue des six frères Ruellan;SARREGUEMINES       ;338.469.954;13
Moreau      ;Bruno     ;male  ;35;12/20/1988;177;89;59491;46 Place Charles de Gaulle   ;VILLENEUVE-D'ASCQ   ;359.664.891;14
